id,county,pop100,intptlat,intptlon
176,001,44,36.4887357,-109.9305281
177,001,4,36.5019663,-109.9125877
178,001,22,36.4976252,-109.897401
179,001,11,36.4914016,-109.8883531
180,001,3,36.4921218,-109.8840237
181,001,11,36.4758589,-109.8991212
183,001,6,36.4767687,-109.9424542
185,001,57,36.4794973,-109.9737992
190,001,10,36.6201908,-109.9769801
196,001,4,36.6606365,-109.690484
197,001,2,36.6740927,-109.6806869
198,001,34,36.6781594,-109.6592287
202,001,2,36.6398917,-109.6883407
204,001,10,36.6253511,-109.701427
205,001,11,36.6162496,-109.7023348
208,001,1,36.4607729,-109.9370893
210,001,7,36.4527986,-109.9362333
212,001,6,36.4611428,-109.9104781
214,001,3,36.4540162,-109.8955347
217,001,7,36.7416964,-109.6767631
221,001,7,36.791405,-109.8963694
223,001,17,36.9700364,-109.7202107
224,001,13,36.9852577,-109.7688863
225,001,9,36.9831228,-109.7905431
226,001,136,36.9117019,-109.8437325
228,001,6,36.8331325,-109.8856502
229,001,28,36.8499816,-109.8520676
230,001,14,36.8557941,-109.8512412
232,001,9,36.8553547,-109.8584866
234,001,8,36.8577248,-109.8475794
235,001,37,36.853096,-109.834239
236,001,76,36.8468147,-109.8630618
237,001,8,36.984101,-109.8661509
240,001,16,36.9443813,-109.7593592
243,001,5,36.8428881,-109.9583994
247,001,11,36.8259722,-109.907489
248,001,12,36.818276,-109.9081984
252,001,21,36.8302724,-109.8738662
253,001,44,36.8262825,-109.8720453
254,001,40,36.8412175,-109.8560974
255,001,10,36.8491325,-109.8420705
256,001,19,36.8472515,-109.843753
257,001,9,36.8358458,-109.8605094
258,001,68,36.8340851,-109.8570262
259,001,8,36.83653,-109.8530814
260,001,49,36.8406607,-109.8470951
261,001,10,36.8374093,-109.8511836
262,001,12,36.8460195,-109.839268
263,001,4,36.8445161,-109.8441122
265,001,1,36.9353993,-109.9078833
267,001,6,36.8262026,-109.8668448
271,001,6,36.9200306,-109.7742186
273,001,8,36.7930616,-109.9819156
276,001,5,36.981441,-109.0833462
282,001,13,36.9938756,-109.1727065
283,001,2,36.9904268,-109.1913468
288,001,3,36.9831546,-109.29443499999999
289,001,2,36.9966866,-109.3019259
293,001,12,36.9656452,-109.2591278
294,001,1,36.947882,-109.2884014
310,001,8,36.9443158,-109.1199829
311,001,2,36.9415882,-109.111958
313,001,40,36.9396486,-109.0867361
314,001,6,36.9606735,-109.0589663
315,001,3,36.9332887,-109.0641147
316,001,3,36.913669,-109.0600394
317,001,57,36.9251228,-109.1092868
319,001,9,36.9250905,-109.106302
320,001,35,36.9356881,-109.106567
321,001,224,36.9178787,-109.0970137
322,001,2,36.9268286,-109.0847925
323,001,8,36.9092597,-109.12812
324,001,39,36.8698562,-109.1624743
325,001,7,36.8928003,-109.0849646
327,001,13,36.9097033,-109.0851524
329,001,31,36.8973127,-109.0752439
330,001,76,36.9030762,-109.1110921
332,001,9,36.9413269,-109.1437835
333,001,1,36.9282478,-109.1478192
334,001,2,36.9240558,-109.1460873
336,001,2,36.8944137,-109.1936188
337,001,11,36.8900458,-109.2691713
341,001,2,36.8971337,-109.2214344
342,001,9,36.9032333,-109.243293
344,001,14,36.8870989,-109.236567
345,001,4,36.8905545,-109.2503347
346,001,5,36.9251683,-109.2579117
349,001,5,36.9321857,-109.2969615
350,001,3,36.9250311,-109.3039831
351,001,11,36.9212979,-109.3164311
357,001,2,36.9011524,-109.278271
358,001,7,36.9200084,-109.2218892
360,001,28,36.9501627,-109.2034424
362,001,9,36.9342747,-109.1899601
371,001,2,36.8801998,-109.0618801
372,001,11,36.8892017,-109.0506476
373,001,12,36.9072897,-109.0553689
380,001,5,36.9105214,-109.2345102
