id,county,pp_total,lat,long
106,035,98,40.6784248,-111.8920219
107,039,33,39.2589241,-111.6436161
111,039,46,39.526547,-111.5742693
114,039,18,39.2661753,-111.6398162
115,039,1685,39.1513777,-111.8104753
116,057,22,41.3024391,-112.1321145
117,057,54,41.1533947,-112.0539767
118,057,24,41.3166995,-111.9540201
119,057,44,41.2974903,-111.9996992
121,057,33,41.1764023,-111.9515957
123,057,401,41.1657805,-112.0508856
124,057,114,41.229913,-111.9582809
125,057,53,41.184884,-111.9650829
126,057,92,41.1829942,-112.0187706
128,049,90,40.4284998,-111.8437174
129,049,50,40.1478307,-111.625482
131,049,184,40.3592758,-111.7167046
133,049,4,40.1163498,-111.700843
134,049,121,40.3091388,-111.7035086
135,049,153,40.1067834,-111.6300356
136,049,55,40.1056183,-111.6290276
137,041,6,38.5800989,-112.4488243
138,031,12,38.4498683,-112.2299439
144,037,17,37.8744685,-109.321221
145,049,80,40.4077202,-111.7943765
150,023,17,39.7228077,-111.8168726
151,017,7,37.8289963,-112.4287886
155,045,65,40.649855,-112.2926712
156,045,25,40.5598366,-112.3111877
157,045,65,40.6524604,-112.294921
160,025,25,37.0211243,-112.5393694
167,023,92,39.7281712,-111.8337149
173,023,15,39.815458,-111.8562314
174,017,3,37.8198295,-112.4107018
178,035,12,40.7667556,-111.8858483
179,041,33,38.6293651,-112.1246917
180,049,66,39.9975444,-111.7468558
181,017,8,37.5903109,-112.0580975
189,037,43,37.6164716,-109.4801169
190,039,13,39.5903689,-111.4364491
193,039,5,39.4754914,-111.5620425
198,037,11,37.6232775,-109.4771212
201,023,27,39.7241541,-111.8304008
204,025,7,37.0421217,-112.5237616
206,039,9,39.4816059,-111.4869565
208,045,40,40.5689477,-112.4513864
209,045,16,40.5642808,-112.3112339
212,011,215,41.0811709,-111.9666887
213,011,100,41.0806755,-111.945951
214,011,34,41.0881427,-112.0903116
215,011,75,41.096171,-112.0879719
216,013,24,40.161679,-110.3970372
218,039,21,39.628876,-111.4402367
221,057,24,41.2472952,-112.1650193
222,057,10,41.3035566,-111.9371327
226,057,22,41.1971863,-112.0752272
227,057,73,41.2994072,-112.0427046
228,035,3,40.6373673,-112.0697253
229,035,101,40.706113,-112.0080475
230,035,115,40.7054917,-111.9818791
231,035,52,40.7067553,-112.0024869
232,035,28,40.6145198,-111.9107633
233,035,92,40.6184846,-111.8263369
234,035,218,40.640284,-111.8283893
235,035,406,40.7032086,-112.0831138
236,035,58,40.6430572,-111.879867
237,035,96,40.5914765,-111.8412641
238,035,103,40.6298846,-111.9492691
239,057,224,41.1420252,-111.9375103
241,001,27,38.3994719,-113.0130944
245,035,33,40.6079717,-111.89273
246,035,63,40.6217257,-112.0043695
248,035,60,40.5149058,-112.0365151
249,035,217,40.7215239,-111.8785214
250,035,43,40.6228887,-111.8231675
251,035,119,40.7042623,-112.0432603
253,035,92,40.5252659,-111.9333134
254,035,139,40.6572211,-111.9094217
255,035,109,40.6707661,-111.9788512
256,035,58,40.6845421,-111.8105049
258,035,102,40.5970739,-112.0085171
260,057,36,41.1911794,-111.9689965
261,057,33,41.208999,-111.9682454
262,057,26,41.2353981,-111.9713427
263,057,48,41.2164996,-111.9553147
264,057,42,41.2391265,-111.9816003
265,057,8,41.3278768,-111.9578413
266,057,36,41.1870629,-112.0591827
267,057,59,41.1580788,-112.0420798
268,057,84,41.1564419,-112.0431317
269,057,259,41.3319146,-112.0157764
270,057,65,41.2134931,-111.9442607
271,057,149,41.2008665,-111.9471878
272,057,54,41.2172829,-111.9531327
273,057,111,41.2899022,-111.7985248
274,057,86,41.1917201,-112.0489217
275,057,66,41.2469768,-112.0805146
278,057,33,41.2945298,-111.9825622
279,057,23,41.2270247,-112.047583
280,057,71,41.2217233,-112.031116
281,057,65,41.1936834,-112.0248025
282,057,49,41.2892457,-111.9753212
283,057,3,41.2962035,-111.7766943
284,057,86,41.308303,-112.0406679
285,057,119,41.277716,-111.9668619
286,013,3,40.1639826,-110.3970611
287,013,38,40.3040378,-109.9905129
288,013,50,40.2916396,-109.9878573
289,011,27,41.1249758,-112.0789307
290,011,124,41.0444679,-111.9189714
291,011,73,41.0641228,-111.9392061
292,011,75,40.8460597,-111.9067452
293,035,17,40.6185444,-111.8970216
294,035,46,40.6053739,-111.8302398
295,035,98,40.7769441,-111.9218398
296,035,273,40.6173422,-112.0214363
297,035,97,40.619433,-112.0100381
298,035,125,40.6214898,-112.0122291
299,035,12,40.7507277,-111.8526274
300,035,39,40.7394227,-111.8267318
