tract,county,pop,lat,long
002607,021,4489,-82.61844605219133,35.635165285356656
002608,021,5199,-82.68586181367075,35.61066697483011
002609,021,1297,-82.69939577841697,35.64511559048461
002701,021,4354,-82.59666927039498,35.67036270524656
002701,051,2914,-78.68802748109631,35.136942082461474
002701,067,6329,-80.30961344832758,36.16321489880719
002701,119,2307,-80.83092106085583,35.200043204403336
002702,021,4633,-82.57929209141047,35.70729362650989
002702,051,5570,-78.76286369255564,35.064003500571516
002702,067,6141,-80.27724790246018,36.16162020748468
002702,119,6123,-80.83800954247627,35.18226170142306
002704,021,4837,-82.5232752420342,35.68901650626601
002704,067,3424,-80.27615349900086,36.147811185533115
002705,021,1391,-82.4623049841996,35.7039627429869
002705,067,3266,-80.29042613282314,36.1454860397097
002800,119,3901,-80.82132442116585,35.192534237475776
002801,051,4457,-78.71845387902219,35.00185005545621
002801,067,4521,-80.39368078888963,36.22636358857871
002801,133,2049,-77.18673558903339,34.655953928378565
002802,051,2563,-78.67877251970566,35.03936968786767
002802,133,2272,-77.22276145639997,34.678660937450914
002803,021,4410,-82.61626199757755,35.73515289845916
002803,133,6081,-77.1966879560038,34.68758371841924
002804,021,5343,-82.5370340247383,35.750480681210554
002804,067,3706,-80.31253529216801,36.184236631429044
002806,067,3285,-80.27442447111316,36.188768308897316
002807,067,4889,-80.27125115578113,36.23343390340561
002808,067,3934,-80.32080664116863,36.24162629592526
002809,067,3045,-80.33560844927922,36.2160855788226
002900,021,3876,-82.41793543938503,35.766724443123465
002900,051,4197,-78.67298340579944,34.90586810213099
002901,067,4901,-80.22898944630084,36.21430553536325
002903,067,3756,-80.20293806404992,36.16999463648961
002903,119,4711,-80.81507836222995,35.15557383845158
002904,067,2027,-80.18251210280833,36.21695600291016
002905,119,3784,-80.82212331867855,35.170158322905976
002907,119,3509,-80.80662464855388,35.147987404863564
002908,119,3813,-80.79250576684355,35.138080555270925
002909,119,1570,-80.83233323676563,35.157615442351975
002910,119,3452,-80.84249819778744,35.160690939692415
003002,021,7296,-82.402916963317125,35.615222244278954
003002,051,2777,-78.82073319383566,34.92430652735995
003002,067,4235,-80.17463563885512,36.14938508738519
003003,021,5582,-82.46422313706458,35.602771115622254
003003,051,7343,-78.90824504495944,34.90953803670875
003003,067,3610,-80.15138585441399,36.13457937337018
003004,021,2615,-82.43860012297026,35.64468204195903
003004,051,7738,-78.87704724645035,34.88909698376688
003004,067,3824,-80.12381002536702,36.120029241229105
003006,119,4490,-80.82980844128761,35.13341103336652
003008,119,5742,-80.83714819559218,35.099037109681305
003012,119,4419,-80.84754101894653,35.10865260972329
003013,119,5841,-80.80636184931988,35.10513815248052
003015,119,4691,-80.76344541753947,35.124452363055475
003016,119,5117,-80.76872156832616,35.112380236109274
003017,119,3808,-80.7997021274956,35.099540664813304
003018,119,2743,-80.7845091503743,35.107107577463076
003019,119,2482,-80.81773345267585,35.129940728399355
003020,119,4648,-80.81146245534404,35.117498914950495
003021,119,2614,-80.8426347272518,35.123712516454205
003022,119,3822,-80.84381732910171,35.138321021025156
003102,051,6518,-79.01806699237417,34.96282776290384
003102,119,4455,-80.86136233371545,35.154285009411666
003103,021,1943,-82.33761414487488,35.59113407546527
