county,block,pop,lat,long
149,1004,121,-82.12228894236314,35.24584510413388
151,1004,1917,-79.80518301781925,35.77652819645216
153,1004,216,-79.64902019385235,35.076698166808534
155,1004,1330,-79.05124568763554,34.66175285950812
157,1004,1610,-79.70473367959747,36.47683209041018
159,1004,1354,-80.46346708894528,35.694168513276544
161,1004,814,-81.8364909832977,35.47276325429249
163,1004,774,-78.39249391503668,35.11383882209499
165,1004,2756,-79.56789202922778,34.78252090147898
167,1004,450,-80.26221973776931,35.34294296158213
169,1004,728,-80.27946531327252,36.43517750535742
171,1004,805,-80.66716533015664,36.48047130695365
173,1004,374,-83.33389177518238,35.51670963734871
175,1004,169,-82.81568881421845,35.13184401291873
177,1004,12,-76.12173758275041,35.923132785359826
179,1004,2246,-80.44885638870183,34.96793415835829
181,1004,663,-78.35186710989916,36.35496509339157
183,1004,20406,-78.68184910030112,35.78378718465285
185,1004,152,-78.12507979478177,36.35509364626116
187,1004,108,-76.41424515370035,35.827060392381384
189,1004,347,-81.69382715600348,36.308411677364
191,1004,1271,-78.01485902095189,35.385301610251666
193,1004,1098,-81.04657620153107,36.22965513007684
195,1004,516,-77.93554033660912,35.690590925584964
197,1004,671,-80.63993592242996,36.18420437508718
199,1004,44,-82.34537455652243,35.921891933420966
001,1005,2005,-79.38964591566626,36.07712186899711
003,1005,367,-81.13556380638197,35.96367070464886
005,1005,23,-81.1400546613934,36.5631793892499
007,1005,82,-80.00418428070728,35.03730429650276
009,1005,109,-81.58900801118808,36.54825291881737
011,1005,77,-81.92971975593751,36.105873544784664
013,1005,69,-76.86653661417381,35.56357999082019
015,1005,218,-77.09868743240433,36.18873060935873
017,1005,490,-78.68644225125833,34.617265523875616
019,1005,2460,-78.34066002218461,34.030767382764004
021,1005,4576,-82.55378981510833,35.62567928494192
023,1005,1093,-81.7371059130296,35.78666397997625
025,1005,2921,-80.5965622595431,35.37561490021658
027,1005,792,-81.50558146153817,35.88126299989094
029,1005,16,-76.14617324951539,36.35001579105681
031,1005,1727,-76.76815446901485,34.796038133833655
033,1005,187,-79.50255016387283,36.40828654619432
035,1005,2187,-81.21188955144639,35.75659922871331
037,1005,761,-79.21404454608378,35.74897498721227
039,1005,440,-83.94690951308984,35.084207036222566
041,1005,221,-76.58270362677196,36.25138516733701
043,1005,110,-83.90781553887436,35.03604228904453
045,1005,818,-81.57312252940422,35.371116188415456
047,1005,151,-78.8068526928541,34.29021655524435
049,1005,991,-77.23796826961464,35.26216714921349
051,1005,4577,-78.8686431438629,35.107361440767626
053,1005,1579,-75.88314086366002,36.21709186284288
055,1005,60,-75.69030775754607,35.9789972142519
057,1005,1529,-80.27567711150587,35.84033005014363
059,1005,983,-80.48793965003064,36.00261345270015
061,1005,534,-77.95320234335003,34.95770483478549
063,1005,3638,-78.92695952453313,36.07375673114796
065,1005,465,-77.65111682047481,35.889184752712545
067,1005,5733,-80.23458557737118,36.16412589812666
069,1005,965,-78.31785956651473,36.13496844270083
071,1005,5327,-81.17043675242066,35.27451335145515
073,1005,341,-76.65768986441591,36.53504552670856
077,1005,264,-78.63394734113916,36.28679559340392
079,1005,88,-77.59370422939067,35.52303126063136
081,1005,7372,-79.82725644799068,36.07594954311848
083,1005,253,-77.61058075729774,36.22906345119564
085,1005,1377,-78.85479353534548,35.40812926868994
087,1005,238,-83.1273533803091,35.65878674749688
089,1005,827,-82.62052380422864,35.37845851586578
091,1005,245,-77.0279800985327,36.354501361657356
093,1005,1931,-79.13231546672036,34.99118577618286
097,1005,3310,-80.8733045888455,35.834501487295675
099,1005,716,-83.2099902936279,35.32556454893754
101,1005,6085,-78.3846983491769,35.512009880869556
103,1005,23,-77.39090764282018,35.143272135502215
105,1005,368,-79.21920190134846,35.453108196181596
107,1005,528,-77.66265857539436,35.30263650074136
109,1005,984,-81.24460071093108,35.49602802179365
111,1005,310,-81.94228709057904,35.685005675106794
113,1005,326,-83.4187530814062,35.23107678919906
115,1005,144,-82.80660114769097,35.91368799217156
117,1005,122,-77.2214045659938,35.869289855621844
119,1005,34202,-80.8096979591818,35.23814517444482
121,1005,339,-82.17121736222673,36.09649030090218
123,1005,125,-79.89160491062482,35.351305943335966
125,1005,1614,-79.48233304472112,35.32269529343236
127,1005,566,-77.90931297216896,35.997625003310205
129,1005,3130,-77.8968040621063,34.281430443074605
131,1005,111,-77.46047072457492,36.44914853597557
133,1005,2941,-77.37552068970332,34.76053681877096
135,1005,4764,-79.13856806159517,35.995648878793034
137,1005,98,-76.8011871340309,35.13021978055807
139,1005,1379,-76.31965809089759,36.31988691335831
141,1005,1090,-77.85257863617278,34.51933176789227
143,1005,55,-76.51233217487287,36.331687094893454
145,1005,237,-79.0071965675008,36.37925129748117
147,1005,2060,-77.3939669268053,35.58666846558343
149,1005,710,-82.14722303239411,35.26838057169034
151,1005,1353,-79.73579335998693,35.80280846718787
153,1005,194,-79.6181915716915,35.020728605706545
155,1005,2129,-79.1522518585061,34.64814812693596
157,1005,1198,-79.70202771539189,36.37761570586142
159,1005,2440,-80.52161783286721,35.69091753830937
161,1005,799,-81.93244044069354,35.3461363720333
