alpha,beta,gamma,pop_dif
22.099999999999998,0.9,2.3000000000000003,0.5879572579977967
22.099999999999998,0.9,2.4000000000000004,0.5479029053219483
22.099999999999998,0.9,2.5,0.226913188122312
22.2,0.9,0,0.4777273817941678
22.2,0.9,0.1,0.4056923474269454
22.2,0.9,0.2,0.5336928412054087
22.2,0.9,0.30000000000000004,0.267372740874237
22.2,0.9,0.4,0.4648758820387394
22.2,0.9,0.5,0.25927110305273204
22.2,0.9,0.6000000000000001,0.26309780840554847
22.2,0.9,0.7000000000000001,0.32093775150556436
22.2,0.9,0.8,0.5574486433413922
22.2,0.9,0.9,0.2378138022204066
22.2,0.9,1,0.40122987586755704
22.2,0.9,1.1,0.3411737555759696
22.2,0.9,1.2000000000000002,0.2445989051685893
22.2,0.9,1.3,0.5945231942276693
22.2,0.9,1.4000000000000001,0.31222455271522176
22.2,0.9,1.5,0.5342281849580649
22.2,0.9,1.6,0.09757023138143678
22.2,0.9,1.7000000000000002,0.37319513662586234
22.2,0.9,1.8,0.45340492745383004
22.2,0.9,1.9000000000000001,0.5725648359236961
22.2,0.9,2,0.43351421151828484
22.2,0.9,2.1,0.5093407665505226
22.2,0.9,2.2,0.26726879518353835
22.2,0.9,2.3000000000000003,0.4817077285822145
22.2,0.9,2.4000000000000004,0.44931882443663784
22.2,0.9,2.5,0.7540290122374792
22.299999999999997,0.9,0,0.2692872835701254
22.299999999999997,0.9,0.1,0.38315139067475557
22.299999999999997,0.9,0.2,0.3335524126909672
22.299999999999997,0.9,0.30000000000000004,0.5679799804697291
22.299999999999997,0.9,0.4,0.4688186021890423
22.299999999999997,0.9,0.5,0.5478086924895436
22.299999999999997,0.9,0.6000000000000001,0.7446954500461811
22.299999999999997,0.9,0.7000000000000001,0.46837424304160286
22.299999999999997,0.9,0.8,0.7431217515997575
22.299999999999997,0.9,0.9,0.5986663752701489
22.299999999999997,0.9,1,0.5121711200074481
22.299999999999997,0.9,1.1,0.009180482516577139
22.299999999999997,0.9,1.2000000000000002,0.5020084473495771
22.299999999999997,0.9,1.3,0.24958681292691304
22.299999999999997,0.9,1.4000000000000001,0.24634692242187048
22.299999999999997,0.9,1.5,0.45517727572010985
22.299999999999997,0.9,1.6,0.5117867023197377
22.299999999999997,0.9,1.7000000000000002,0.23414182489868654
22.299999999999997,0.9,1.8,0.46493297469959993
22.299999999999997,0.9,1.9000000000000001,0.35672903910415693
22.299999999999997,0.9,2,0.5785688394852897
22.299999999999997,0.9,2.1,0.5079087941386949
22.299999999999997,0.9,2.2,0.3461374825259831
22.299999999999997,0.9,2.3000000000000003,0.24066919881509993
22.299999999999997,0.9,2.4000000000000004,0.47300357483656874
22.299999999999997,0.9,2.5,0.4872978105777352
20.4,0.9,0,0.3161582202573502
20.4,0.9,0.1,0.2115315831261633
20.4,0.9,0.2,0.74377703203993
20.4,0.9,0.30000000000000004,0.24554307843906414
20.4,0.9,0.4,0.2733121349354674
20.4,0.9,0.5,0.5802947985782402
20.4,0.9,0.6000000000000001,0.06362744046784398
20.4,0.9,0.7000000000000001,0.12876227224008574
20.4,0.9,0.8,0.8350029237447719
20.4,0.9,0.9,0.5911649111078892
20.4,0.9,1,0.5235298130935248
20.4,0.9,1.1,0.6571541989127966
20.4,0.9,1.2000000000000002,0.2514862271618758
20.4,0.9,1.3,0.5500932510240483
20.4,0.9,1.4000000000000001,0.7899970866195228
20.4,0.9,1.5,0.7079941236688801
20.4,0.9,1.6,0.31438118902774886
20.4,0.9,1.7000000000000002,0.7647618835724315
20.4,0.9,1.8,0.502906050307736
20.4,0.9,1.9000000000000001,0.6482039761491304
20.4,0.9,2,0.5366474625390224
20.4,0.9,2.1,0.3962611721361807
20.4,0.9,2.2,0.5585864737631593
20.4,0.9,2.3000000000000003,0.5496426003007387
20.4,0.9,2.4000000000000004,0.255963776858613
20.4,0.9,2.5,0.6702376227516155
20.5,0.9,0,0.696096943366822
20.5,0.9,0.1,0.16292277727500126
20.5,0.9,0.2,0.3923215505379963
20.5,0.9,0.30000000000000004,0.6640672671596756
20.5,0.9,0.4,0.5080060509776393
20.5,0.9,0.5,0.6575160409998142
20.5,0.9,0.6000000000000001,0.24468890449024672
20.5,0.9,0.7000000000000001,0.3744422097919678
20.5,0.9,0.8,0.4110332412958996
