tract_new,county,pop100,intptlat,intptlon,tract
013061049,013,5826,33.4282146,-112.4009683,061049
013061050,013,6465,33.4283671,-112.4267914,061050
013061051,013,4010,33.4429158,-112.4181311,061051
013061052,013,7060,33.4431709,-112.3920848,061052
013061053,013,7287,33.4557236,-112.4013721,061053
013061054,013,8264,33.4701401,-112.4005312,061054
013061055,013,6157,33.5006201,-112.3984667,061055
013061056,013,3074,33.488963,-112.4517571,061056
013061057,013,4309,33.4525456,-112.4412605,061057
013061058,013,3567,33.4048935,-112.4176024,061058
013061059,013,4843,33.6193732,-112.4460019,061059
013061060,013,3575,33.6162951,-112.4324134,061060
013061061,013,3568,33.6315728,-112.4309035,061061
013061062,013,6953,33.6311366,-112.4468752,061062
013061063,013,1743,33.4539858,-112.3587089,061063
013061064,013,2964,33.468442,-112.3667229,061064
013061100,013,2659,33.5359445,-112.3736455,061100
013061200,013,6746,33.4461284,-112.3388821,061200
013061300,013,2050,33.4414474,-112.3633791,061300
013061401,013,2167,33.432742,-112.3495978,061401
013061402,013,6154,33.4264916,-112.3443359,061402
013071503,013,4959,33.6103118,-112.2784919,071503
013071504,013,3721,33.628581,-112.2828839,071504
013071505,013,6537,33.6233312,-112.2981718,071505
013071506,013,4183,33.6251239,-112.2657735,071506
013071509,013,5603,33.6235809,-112.2284614,071509
013071510,013,4402,33.6032519,-112.2114133,071510
013071511,013,3890,33.631369,-112.2099467,071511
013071512,013,6246,33.6029139,-112.2289092,071512
013071513,013,1758,33.6185011,-112.2129207,071513
013071514,013,3896,33.6307614,-112.245213,071514
013071515,013,3704,33.6164861,-112.2476616,071515
013071516,013,4561,33.6033854,-112.260685,071516
013071517,013,3961,33.6010767,-112.2466222,071517
013071600,013,4192,33.5916464,-112.3045197,071600
013071701,013,3009,33.5727181,-112.3050618,071701
013071702,013,3555,33.5855768,-112.2958744,071702
013071801,013,5090,33.5901306,-112.2765983,071801
013071802,013,3575,33.5726345,-112.2798313,071802
013071903,013,6435,33.588797,-112.2115599,071903
013071906,013,6331,33.5740472,-112.2472931,071906
013071909,013,4178,33.5726323,-112.2661232,071909
013071910,013,7132,33.5884666,-112.2289674,071910
013071911,013,3246,33.5737302,-112.228584,071911
013071912,013,2695,33.5857869,-112.255389,071912
013071913,013,5423,33.5892199,-112.2456888,071913
013071914,013,3245,33.5742426,-112.215934,071914
013071915,013,3617,33.5743756,-112.2072845,071915
013082002,013,6542,33.4994539,-112.280234,082002
013082007,013,4398,33.5015352,-112.2507274,082007
013082008,013,5378,33.5015368,-112.2420807,082008
013082009,013,5183,33.4869963,-112.2508164,082009
013082010,013,4342,33.4870407,-112.2421267,082010
013082012,013,7092,33.499953,-112.3008303,082012
013082016,013,3275,33.4956865,-112.2640759,082016
013082017,013,5160,33.4706714,-112.2638912,082017
013082018,013,5151,33.4760517,-112.2464894,082018
013082019,013,2485,33.4896483,-112.301829,082019
013082020,013,4027,33.4807297,-112.3036975,082020
013082021,013,2365,33.486432,-112.2812848,082021
013082022,013,4739,33.4664637,-112.3169254,082022
013082023,013,5888,33.4696274,-112.298403,082023
013082024,013,5154,33.4702087,-112.2812088,082024
