district,county,population,lat,long
2,13,3891,33.6602914,-112.2446551
2,13,3073,33.6584742,-112.2267141
2,13,5088,33.6553978,-112.2120123
2,13,4328,33.6611787,-112.1954932
2,13,2408,33.6614423,-112.1778366
2,13,3905,33.6654649,-112.160561
2,13,3353,33.6580902,-112.1604028
2,13,2125,33.6621371,-112.1432751
2,13,6300,33.6612535,-112.1205818
2,13,7573,33.6480116,-112.2983869
2,13,3977,33.6466847,-112.2693812
2,13,6285,33.6456792,-112.2462816
2,13,3473,33.6452364,-112.2291917
2,13,2661,33.6470072,-112.2098091
2,13,2742,33.6445885,-112.1949954
2,13,4476,33.6466694,-112.1777514
2,13,4415,33.6462322,-112.1636304
2,13,3928,33.6509826,-112.143182
2,13,3119,33.6433998,-112.1431656
2,13,4022,33.6510443,-112.1245354
2,13,4026,33.643589,-112.1248723
3,13,5592,33.7128794,-111.5743081
3,13,3779,33.7535864,-111.7538552
3,13,2989,33.7346108,-111.6804374
3,13,4882,33.8175437,-111.9168671
3,13,3913,33.8615277,-111.938807
3,13,2799,33.6042712,-111.9694857
3,13,2433,33.604206,-111.95191
3,13,2389,33.6044145,-111.9345066
3,13,3995,33.5904316,-111.987092
3,13,5312,33.5849736,-111.9621695
3,13,6470,33.6053327,-111.9874082
3,13,4342,33.6189983,-111.9869134
3,13,4030,33.618831900000004,-111.969144
3,13,3759,33.6187003,-111.9517163
3,13,3027,33.6334564,-111.9869238
3,13,4992,33.6333105,-111.9690393
3,13,6244,33.6331997,-111.9515948
3,13,3361,33.6316314,-111.9341912
3,13,2951,33.6174998,-111.9348638
3,13,6376,33.6193209,-112.0046826
3,13,3646,33.6334977,-112.0047671
3,13,5174,33.6334539,-112.016688
3,13,3536,33.6368982,-112.0254119
3,13,4537,33.6298167,-112.0253133
3,13,4617,33.6050129,-112.003676
3,13,3128,33.6202677,-112.0205953
3,13,6138,33.6063523,-112.0255946
3,13,4544,33.6353654,-112.0866753
3,13,6128,33.6166417,-112.0797986
3,13,4396,33.6336689,-112.0391208
3,13,4427,33.6180635,-112.0411304
3,13,5240,33.627033,-112.0564073
3,13,4995,33.6300172,-112.0758193
3,13,3077,33.605407,-112.0851886
3,13,5170,33.5924127,-112.0822503
3,13,4895,33.6060907,-112.0471873
3,13,3151,33.594154,-112.0555575
3,13,3972,33.5709186,-112.0944957
3,13,5491,33.5782692,-112.0905724
3,13,4065,33.5767665,-112.072928
3,13,2741,33.5769083,-112.0602936
3,13,4520,33.5733572,-112.0535868
3,13,3747,33.578833,-112.0338226
3,13,5921,33.589495,-112.0242495
3,13,4284,33.5898363,-112.0044597
3,13,2608,33.5228894,-111.947527
3,13,4544,33.5658394,-111.9474755
3,13,3026,33.5441689,-111.9412986
3,13,4557,33.5739703,-111.9968372
3,13,4851,33.5466976,-112.0221521
3,13,2905,33.5356993,-111.9906382
3,13,5939,33.563750400000004,-112.0501289
3,13,5224,33.5585568,-112.0712797
3,13,3887,33.5602849,-112.0910906
3,13,5788,33.5457403,-112.0910561
3,13,3498,33.5455615,-112.0738396
3,13,5393,33.5462142,-112.0553638
3,13,2996,33.5269505,-112.0379449
3,13,3346,33.5309985,-112.0606354
3,13,3652,33.53099,-112.0518662
3,13,3916,33.5310503,-112.0737184
3,13,4556,33.5349394,-112.0953652
3,13,1277,33.5348013,-112.0867781
3,13,2234,33.5295515,-112.0871786
3,13,2598,33.5174607,-112.0215379
3,13,3682,33.5121661,-111.9651038
3,13,3477,33.4970552,-111.9596525
3,13,2329,33.5033702,-111.9805171
3,13,3106,33.5448607,-111.8984963
3,13,5140,33.5706517,-111.8973232
3,13,4890,33.5745336,-111.8052275
3,13,1567,33.575287,-111.8821256
3,13,4443,33.5712964,-111.9120794
3,13,6861,33.6115564,-111.9073884
3,13,6020,33.6298446,-111.7519771
3,13,4356,33.6132017,-111.706384
3,13,5952,33.5891915,-111.7497196
3,13,4448,33.764038,-111.9065126
3,13,4727,33.5887722,-111.8837698
3,13,5320,33.7894145,-111.8190468
3,13,3238,33.5821553,-111.9347757
3,13,2896,33.5912791,-111.9270634
3,13,2447,33.5776565,-111.865595
3,13,4808,33.573508,-111.8521591
3,13,2345,33.5549585,-111.9180475
3,13,2782,33.5461165,-111.9137634
3,13,3690,33.5888596,-111.8587996
3,13,5344,33.5890025,-111.8373468
3,13,4907,33.6042541,-111.882698
3,13,4176,33.6035028,-111.8624422
3,13,4775,33.7127029,-111.9080946
3,13,4355,33.6896109,-111.9086338
3,13,3461,33.6779669,-111.9107134
3,13,3592,33.714098,-111.8301559
3,13,4228,33.66279,-111.9042532
3,13,3449,33.6450492,-111.9093868
3,13,6263,33.6149456,-111.8200445
3,13,4190,33.6244331,-111.8826775
3,13,4593,33.6681878,-111.8225123
3,13,3001,33.6151397,-111.8847323
3,13,4870,33.6167101,-111.8699863
3,13,4356,33.6468046,-111.8762808
3,13,3890,33.6646919,-111.8784501
3,13,2819,33.584738,-111.7196959
3,13,4673,33.6065827,-111.7222205
3,13,6531,33.593265100000004,-111.7873848
3,13,2246,33.634237,-111.8749329
3,13,4279,33.6288045,-111.856799
3,13,3544,33.5293094,-111.9187377
3,13,3843,33.529373,-111.898852
3,13,4305,33.5153595,-111.922848
3,13,5307,33.5162635,-111.8980634
3,13,2627,33.5012471,-111.9053974
3,13,2746,33.5038503,-111.8978049
3,13,2451,33.4945112,-111.9253321
3,13,3376,33.5071933,-111.91706
3,13,2987,33.5003483,-111.9142442
3,13,4781,33.5019583,-111.9349494
3,13,3093,33.4863686,-111.9386785
3,13,3629,33.4850451,-111.9308731
3,13,5036,33.4860977,-111.9159439
3,13,4750,33.4876299,-111.9003184
3,13,6047,33.4731131,-111.900364
3,13,3682,33.4748808,-111.9196965
3,13,6897,33.4619423,-111.9163969
3,13,4616,33.4605095,-111.9021729
3,13,2404,33.9856701,-112.1008918
3,13,6672,33.8955266,-112.1907307
3,13,696,33.8921813,-112.1071975
3,13,4325,33.8674228,-112.122976
3,13,3795,33.8570387,-112.0967166
3,13,3956,33.8474408,-112.1404193
3,13,5438,33.8534223,-112.1274776
3,13,5676,33.8483017,-112.1094978
3,13,7316,33.8390081,-112.0893313
3,13,6367,33.8081662,-112.1032252
3,13,7705,33.8545369,-112.0204517
3,13,7346,33.7800563,-112.1502101
3,13,3238,33.7239685,-112.1329974
3,13,4400,33.7872015,-112.0784639
3,13,6533,33.7526141,-112.0901571
3,13,4031,33.708683,-112.0801056
3,13,4950,33.7352131,-112.1134541
3,13,4496,33.6968013,-112.0389218
3,13,4190,33.7508957,-112.0319677
3,13,4440,33.7865315,-111.9835402
3,13,2397,33.7643659,-111.99031600000001
