district,county,population,lat,long
2,45,3010,35.308493,-81.5394772
2,45,3380,35.290613,-81.5258143
2,45,3523,35.2921971,-81.553106
2,45,5696,35.2661212,-81.5589754
2,45,2796,35.3174568,-81.5868482
2,45,6588,35.3271529,-81.6656022
2,45,5773,35.2501871,-81.6996053
2,45,1325,35.195614,-81.6854766
2,45,2453,35.2344428,-81.6219358
2,45,4344,35.2079344,-81.5691313
2,45,4716,35.2304996,-81.5041012
2,109,4896,35.4685281,-81.2529925
2,109,4736,35.4884909,-81.2268928
2,109,5881,35.435001,-81.2838635
2,109,4889,35.4658276,-81.4095549
2,109,4226,35.5288829,-81.4368095
2,109,3560,35.5130364,-81.3241793
2,109,6249,35.5236608,-81.2381198
2,121,2326,36.0811983,-82.2385599
2,121,3575,36.0193268,-82.1409691
2,121,4120,35.9435892,-82.0693889
2,121,4882,35.8803514,-82.0935242
2,161,1471,35.5062155,-81.7542138
2,161,2210,35.5055712,-81.8730208
2,161,2420,35.4157529,-81.8582358
2,161,4184,35.4709687,-82.0247673
2,161,1303,35.4368986,-82.0590377
2,161,3384,35.3060518,-81.9788997
2,161,2600,35.371623,-81.9871518
2,161,2799,35.3912244,-81.9465353
2,161,1699,35.3448929,-81.9484109
2,161,4109,35.3655458,-81.9191855
2,161,4558,35.3544255,-81.8582142
2,161,4505,35.3297725,-81.8674712
2,161,5056,35.3018315,-81.8621472
2,161,3890,35.351168,-81.7927797
2,161,3088,35.3594568,-81.7363988
2,161,3132,35.2210428,-81.8199451
2,161,2332,35.2458464,-81.7834399
2,161,3008,35.2887382,-81.7849282
2,161,4346,35.2314014,-81.9068768
2,189,4507,36.3019049,-81.6719619
2,189,3843,36.314662,-81.8153207
2,189,2360,36.2298994,-81.7643221
2,189,8327,36.2484663,-81.6987758
2,189,8429,36.2112999,-81.6856018
2,189,5143,36.1973102,-81.662795
2,189,2549,36.1831344,-81.7108761
2,189,1982,36.2514118,-81.5654927
2,189,2905,36.1727153,-81.5580515
2,189,5895,36.2024053,-81.623126
2,189,2835,36.1492585,-81.6554511
2,189,4610,36.1860588,-81.8069751
2,189,701,36.2135427,-81.8791644
2,193,3158,36.2922474,-80.9002601
2,193,3437,36.2492385,-80.971919
2,193,3455,36.3278599,-80.9987835
2,193,5978,36.2293417,-81.0821683
2,193,3213,36.3248681,-81.1595982
2,193,3639,36.2355224,-81.1704384
2,193,3283,36.1964899,-81.1469338
2,193,2575,36.1724031,-81.135575
2,193,3590,36.169598,-81.1884427
2,193,3972,36.1996286,-81.2310723
2,193,4339,36.154359,-81.25051
2,193,2377,36.2738771,-81.3512727
2,193,2260,36.134281,-81.4083554
2,193,4749,36.068535,-81.2776579
2,193,4969,36.0846407,-81.1540114
2,193,4157,36.1557282,-81.1156914
2,193,3567,36.1013183,-81.0020103
2,193,3251,36.182028,-80.9554739
3,37,5520,35.8420429,-79.053972
3,37,6082,35.7960736,-79.0532302
3,37,7944,35.840544,-79.1118722
3,37,2643,35.8490588,-79.1887939
3,37,1949,35.8061687,-79.1341007
3,37,3007,35.8018211,-79.4505658
3,37,3382,35.7996844,-79.2649943
3,37,2409,35.7291272,-79.3082367
3,37,2742,35.6925992,-79.4750166
