district,county,population,lat,long
2,5,6333,39.4741488,-76.7977129
2,5,5202,39.4440222,-76.8184145
2,5,6815,39.4568563,-76.8128263
2,5,4064,39.4467503,-76.8050358
2,5,4681,39.4558233,-76.7436978
2,5,2873,39.4372147,-76.675954
2,5,3496,39.4688739,-76.712107
2,5,4732,39.4700629,-76.6919322
2,5,2477,39.4153592,-76.6459383
2,5,6350,39.4461907,-76.6487871
2,5,5851,39.4267448,-76.6525388
2,5,2452,39.4273663,-76.6286048
2,5,3675,39.410704,-76.6182784
2,5,1878,39.3974859,-76.6532267
2,5,3655,39.3915989,-76.6364254
2,5,2248,39.3751195,-76.6142272
2,5,3195,39.3813161,-76.61318
2,5,2399,39.3755535,-76.6234168
2,5,6524,39.3912441,-76.6191961
2,5,1512,39.4063886,-76.6260724
2,5,3069,39.4004252,-76.6130572
2,5,3249,39.3896673,-76.5982588
2,5,2441,39.3799958,-76.5979781
2,5,3650,39.3743754,-76.5985935
2,5,3857,39.3891702,-76.8180502
2,5,6685,39.4002515,-76.8116861
2,510,3197,39.2786343,-76.5745793
2,510,3113,39.2880851,-76.5740101
2,510,2316,39.288365,-76.5802265
2,510,2726,39.2781675,-76.5795274
2,510,1790,39.2888746,-76.5858889
2,510,1888,39.2887712,-76.5887716
2,510,2181,39.2886357,-76.5920299
2,510,4779,39.280861,-76.5940789
2,510,2083,39.2894076,-76.5965752
2,510,2944,39.2865363,-76.6022612
2,510,6821,39.2903959,-76.6149601
2,510,1107,39.2903223,-76.6250565
2,510,2872,39.2946533,-76.5751514
2,510,3266,39.2944298,-76.5806137
2,510,1985,39.2942438,-76.5855106
2,510,1903,39.2950986,-76.5909176
2,510,2263,39.2998323,-76.5754298
2,510,2948,39.2996608,-76.5810142
2,510,882,39.2994991,-76.5859396
2,510,1548,39.3002032,-76.592847
2,510,3336,39.322849,-76.579024
2,510,1902,39.3170456,-76.575892
2,510,1154,39.311965,-76.5816166
2,510,1549,39.3057013,-76.5820327
2,510,2576,39.3059215,-76.576434
2,510,966,39.3056714,-76.5861659
2,510,1332,39.3141597,-76.5938464
2,510,1751,39.3104188,-76.5934776
2,510,865,39.3070324,-76.5932887
2,510,1902,39.3036982,-76.5930531
2,510,3661,39.3369651,-76.6036954
2,510,2763,39.3341698,-76.5855612
2,510,3963,39.3312288,-76.6023893
2,510,1500,39.3227817,-76.6064912
2,510,1685,39.3249389,-76.6012005
2,510,2555,39.3254965,-76.5902057
2,510,2479,39.3209223,-76.5956215
2,510,2359,39.3155244,-76.603691
2,510,2405,39.3084221,-76.6035994
2,510,1934,39.3032186,-76.6047442
2,510,2715,39.2998552,-76.6022617
2,510,2085,39.2995112,-76.609125
2,510,3484,39.3002458,-76.6128641
2,510,6288,39.3014588,-76.6175056
2,510,4880,39.3365253,-76.6165092
2,510,1946,39.3279849,-76.6118803
2,510,6416,39.3286922,-76.6194426
2,510,3759,39.3199472,-76.6124858
2,510,1928,39.3138354,-76.612384
2,510,2293,39.3085848,-76.6140036
2,510,2895,39.317088,-76.6175228
2,510,2678,39.3184095,-76.623529
2,510,2620,39.3152603,-76.6342242
2,510,2000,39.3123177,-76.6305781
2,510,1828,39.3123572,-76.6406686
2,510,1624,39.3225962,-76.6448717
2,510,3770,39.3264635,-76.6304217
2,510,5252,39.3367186,-76.6317033
2,510,2791,39.3402502,-76.6433643
2,510,1986,39.3312836,-76.6384027
2,510,1108,39.3521339,-76.6522287
2,510,1256,39.3346113,-76.6503321
2,510,5034,39.3077211,-76.6256874
2,510,2256,39.303753,-76.6321873
2,510,2047,39.3078099,-76.6361904
2,510,2404,39.3061672,-76.6417556
2,510,1838,39.3063661,-76.6480486
2,510,1683,39.3070301,-76.655067
2,510,3249,39.3124588,-76.6527287
2,510,1460,39.3222425,-76.6601005
2,510,2918,39.3090802,-76.6687936
2,510,1668,39.3193301,-76.6678344
2,510,2261,39.3128159,-76.6678751
2,510,4230,39.3189672,-76.6778103
2,510,3075,39.3142207,-76.6842999
2,510,4634,39.3333561,-76.6843834
2,510,5807,39.3303769,-76.6723437
